campaign_id,brand,category,platform,total_budget,start_date,end_date,target_creator_tier,expected_creator_count
CA001,Brand_001,gaming,youtube,715000,2025-01-01,2025-01-31,macro,52
CA002,Brand_002,entertainment,instagram,585000,2025-01-04,2025-01-18,nano,166
CA003,Brand_003,finance,youtube,95000,2025-01-07,2025-01-28,micro,62
CA004,Brand_004,FMCG,instagram,120000,2025-01-10,2025-01-24,nano,171
CA005,Brand_005,D2C,youtube,195000,2025-01-13,2025-02-12,mid,198
CA006,Brand_006,gaming,youtube,100000,2025-01-16,2025-01-30,micro,185
CA007,Brand_007,finance,youtube,480000,2025-01-19,2025-02-02,mid,142
CA008,Brand_008,finance,instagram,285000,2025-01-22,2025-03-08,micro,120
CA009,Brand_009,gaming,youtube,270000,2025-01-25,2025-02-08,nano,164
CA010,Brand_010,FMCG,instagram,25000,2025-01-28,2025-02-11,micro,96
CA011,Brand_011,finance,youtube,50000,2025-01-31,2025-02-14,micro,135
CA012,Brand_012,gaming,youtube,2335000,2025-02-03,2025-03-05,macro,178
CA013,Brand_013,finance,youtube,290000,2025-02-06,2025-02-20,nano,85
CA014,Brand_014,gaming,instagram,960000,2025-02-09,2025-03-11,macro,97
CA015,Brand_015,D2C,youtube,355000,2025-02-12,2025-03-29,macro,89
CA016,Brand_016,finance,instagram,40000,2025-02-15,2025-03-08,micro,77
CA017,Brand_017,FMCG,instagram,70000,2025-02-18,2025-03-20,micro,181
CA018,Brand_018,D2C,youtube,195000,2025-02-21,2025-03-14,mid,96
CA019,Brand_019,D2C,youtube,30000,2025-02-24,2025-03-10,nano,113
CA020,Brand_020,entertainment,instagram,85000,2025-02-27,2025-03-29,micro,123
CA021,Brand_021,entertainment,instagram,10000,2025-03-02,2025-04-01,micro,39
CA022,Brand_022,finance,instagram,60000,2025-03-05,2025-04-04,micro,88
CA023,Brand_023,FMCG,instagram,35000,2025-03-08,2025-04-07,nano,52
CA024,Brand_024,gaming,youtube,140000,2025-03-11,2025-04-10,micro,192
CA025,Brand_025,finance,youtube,65000,2025-03-14,2025-03-28,mid,95
CA026,Brand_026,gaming,instagram,430000,2025-03-17,2025-04-07,mid,77
CA027,Brand_027,finance,youtube,395000,2025-03-20,2025-04-19,mid,161
CA028,Brand_028,entertainment,instagram,150000,2025-03-23,2025-04-13,nano,61
CA029,Brand_029,gaming,youtube,610000,2025-03-26,2025-05-10,mid,163
CA030,Brand_030,entertainment,instagram,495000,2025-03-29,2025-05-13,mid,80
CA031,Brand_031,finance,instagram,110000,2025-04-01,2025-05-16,micro,170
CA032,Brand_032,gaming,instagram,410000,2025-04-04,2025-05-04,macro,43
CA033,Brand_033,finance,instagram,15000,2025-04-07,2025-04-28,micro,89
CA034,Brand_034,FMCG,youtube,390000,2025-04-10,2025-05-10,nano,191
CA035,Brand_035,gaming,instagram,120000,2025-04-13,2025-05-13,micro,165
CA036,Brand_036,gaming,instagram,10000,2025-04-16,2025-05-31,nano,35
CA037,Brand_037,FMCG,instagram,10000,2025-04-19,2025-06-03,nano,32
CA038,Brand_038,D2C,youtube,705000,2025-04-22,2025-05-06,mid,176
CA039,Brand_039,FMCG,youtube,870000,2025-04-25,2025-05-16,macro,84
CA040,Brand_040,D2C,youtube,75000,2025-04-28,2025-05-12,micro,121
CA041,Brand_041,FMCG,youtube,60000,2025-05-01,2025-05-15,micro,118
CA042,Brand_042,gaming,instagram,1310000,2025-05-04,2025-06-18,micro,194
