creator_id,platform,follower_count,tier,account_age_months,historical_avg_views_per_post,historical_completion_rate
CR0001,instagram,262298,mid,16,95881,1.0
CR0002,instagram,562465,mid,50,68530,1.0
CR0003,instagram,63743,micro,19,9309,0.42857142857142855
CR0004,youtube,400646,mid,30,49482,0.6666666666666666
CR0005,instagram,153367,mid,41,39835,0.6666666666666666
CR0006,instagram,837990,mid,61,86086,1.0
CR0007,instagram,3609,nano,44,636,0.16666666666666666
CR0008,youtube,586057,mid,37,121676,0.9333333333333333
CR0009,youtube,1520,nano,27,405,0.0
CR0010,instagram,35980,micro,56,11431,0.0
CR0011,instagram,55970,micro,51,13952,0.0
CR0012,youtube,3358,nano,17,768,0.11764705882352941
CR0013,instagram,2521,nano,36,653,0.0
CR0014,instagram,24965,micro,26,3968,0.0
CR0015,instagram,275894,mid,42,41782,0.5714285714285714
CR0016,instagram,23579,micro,14,3486,0.25
CR0017,instagram,8854,nano,67,1234,0.0
CR0018,instagram,483155,mid,27,55607,1.0
CR0019,instagram,15770,micro,14,3726,0.3333333333333333
CR0020,instagram,485894,mid,29,96490,0.8571428571428571
CR0021,instagram,3231,nano,40,1165,0.0
CR0022,instagram,4437,nano,15,412,0.0
CR0023,youtube,10526,micro,52,686,0.05555555555555555
CR0024,instagram,30183,micro,38,4074,0.3333333333333333
CR0025,youtube,32290,micro,36,4323,0.06666666666666667
CR0026,instagram,4170,nano,38,319,0.0
CR0027,instagram,541347,mid,19,113071,0.8571428571428571
CR0028,instagram,23049,micro,55,4428,0.0
CR0029,instagram,31884,micro,25,4208,0.2
CR0030,youtube,93383,micro,31,36528,0.5333333333333333
CR0031,instagram,20365,micro,41,3311,0.1
CR0032,instagram,178012,mid,85,10870,0.3333333333333333
CR0033,instagram,2088,nano,47,397,0.0
CR0034,instagram,2238736,macro,34,440834,1.0
CR0035,instagram,13155,micro,20,1590,0.25
CR0036,instagram,481583,mid,43,53092,0.8571428571428571
CR0037,youtube,19689,micro,30,6609,0.25
CR0038,instagram,105614,mid,34,22569,0.375
CR0039,youtube,88045,micro,14,22027,0.7142857142857143
CR0040,youtube,103996,mid,10,21320,0.4166666666666667
CR0041,instagram,39130,micro,12,3881,0.16666666666666666
CR0042,youtube,17471,micro,120,1177,0.14285714285714285
CR0043,instagram,4493,nano,28,2004,0.0
CR0044,instagram,143865,mid,29,21134,0.8
CR0045,youtube,2070,nano,36,373,0.0
CR0046,instagram,31137,micro,31,4050,0.2
CR0047,instagram,4305,nano,38,636,0.0
CR0048,instagram,6985,nano,55,1724,0.16666666666666666
CR0049,instagram,860494,mid,28,145795,0.7142857142857143
CR0050,instagram,4034,nano,29,1491,0.0
CR0051,instagram,18219,micro,85,1291,0.6666666666666666
CR0052,youtube,22815,micro,27,3526,0.42105263157894735
CR0053,instagram,748890,mid,86,442264,1.0
CR0054,instagram,61160,micro,57,10134,0.4
CR0055,instagram,5408,nano,90,1533,0.0
CR0056,youtube,8440,nano,76,874,0.16666666666666666
CR0057,instagram,573762,mid,22,71304,0.875
CR0058,instagram,14705,micro,39,5399,0.5
CR0059,youtube,578992,mid,45,76110,1.0
CR0060,youtube,1763,nano,51,534,0.0
CR0061,instagram,75570,micro,30,16793,0.2222222222222222
CR0062,instagram,1970,nano,74,322,0.4
CR0063,instagram,82278,micro,68,23386,0.6
CR0064,instagram,808482,mid,11,512022,1.0
CR0065,youtube,46861,micro,16,15842,0.4117647058823529
CR0066,youtube,27068,micro,15,7289,0.3
CR0067,instagram,4116559,macro,35,761601,1.0
CR0068,instagram,7855,nano,36,1259,0.2
CR0069,instagram,8055,nano,52,1568,0.16666666666666666
CR0070,instagram,60761,micro,50,2178,0.4444444444444444
CR0071,instagram,545479,mid,21,269947,1.0
CR0072,youtube,3806,nano,23,1194,0.0
CR0073,youtube,152829,mid,15,34469,0.47368421052631576
CR0074,youtube,4678,nano,55,950,0.0
CR0075,youtube,2104,nano,29,300,0.0
CR0076,instagram,13864,micro,59,3532,0.3333333333333333
CR0077,instagram,83107,micro,96,16313,0.6666666666666666
