campaign_id,milestone_rank,view_threshold,payout_amount
CA001,1,14850,950
CA001,2,59400,3800
CA001,3,148500,9500
CA001,4,519750,33250
CA002,1,6825,600
CA002,2,27300,2400
CA002,3,68250,6050
CA002,4,238875,21100
CA003,1,7650,450
CA003,2,30600,1800
CA003,3,76500,4550
CA003,4,267750,15950
CA004,1,6500,450
CA004,2,26000,1800
CA004,3,65000,4500
CA004,4,227500,15700
CA005,1,10450,400
CA005,2,41800,1500
CA005,3,104500,3800
CA005,4,365750,13300
CA006,1,9350,600
CA006,2,37400,2400
CA006,3,93500,6000
CA006,4,327250,20950
CA007,1,16335,2300
CA007,2,65340,9200
CA007,3,163350,23050
CA007,4,571725,80650
CA008,1,7650,500
CA008,2,30600,2000
CA008,3,76500,4950
CA008,4,267750,17300
CA009,1,7150,550
CA009,2,28600,2100
CA009,3,71500,5250
CA009,4,250250,18400
CA010,1,8500,350
CA010,2,34000,1450
CA010,3,85000,3550
CA010,4,297500,12500
CA011,1,5000,250
CA011,2,20000,900
CA011,3,50000,2300
CA011,4,175000,7950
CA012,1,14850,1250
CA012,2,59400,4950
CA012,3,148500,12350
CA012,4,519750,43250
CA013,1,5850,350
CA013,2,23400,1400
CA013,3,58500,3500
CA013,4,204750,12200
CA014,1,24502,3150
CA014,2,98008,12600
CA014,3,245020,31450
CA014,4,857570,110050
CA015,1,12825,450
CA015,2,51300,1850
CA015,3,128250,4650
CA015,4,448875,16350
CA016,1,7650,600
CA016,2,30600,2350
CA016,3,76500,5800
CA016,4,267750,20350
CA017,1,8500,650
CA017,2,34000,2650
CA017,3,85000,6650
CA017,4,297500,23200
CA018,1,10450,450
CA018,2,41800,1850
CA018,3,104500,4600
CA018,4,365750,16150
CA019,1,6175,350
CA019,2,24700,1500
CA019,3,61750,3700
CA019,4,216125,12900
CA020,1,8925,400
CA020,2,35700,1700
CA020,3,89250,4250
CA020,4,312375,14850
CA021,1,14726,1550
CA021,2,58904,6200
CA021,3,147260,15500
CA021,4,515410,54300
CA022,1,5000,300
CA022,2,20000,1300
CA022,3,50000,3200
CA022,4,175000,11250
CA023,1,6500,350
CA023,2,26000,1350
CA023,3,65000,3300
CA023,4,227500,11600
CA024,1,9350,700
CA024,2,37400,2750
CA024,3,93500,6900
CA024,4,327250,24100
CA025,1,9900,500
CA025,2,39600,1950
CA025,3,99000,4850
CA025,4,346500,17000
CA026,1,12100,850
CA026,2,48400,3500
CA026,3,121000,8700
CA026,4,423500,30500
CA027,1,9900,900
CA027,2,39600,3600
CA027,3,99000,9000
CA027,4,346500,31550
CA028,1,11261,1000
CA028,2,45044,4050
CA028,3,112610,10100
CA028,4,394135,35300
CA029,1,12100,900
CA029,2,48400,3550
CA029,3,121000,8900
CA029,4,423500,31150
CA030,1,11550,550
CA030,2,46200,2200
CA030,3,115500,5500
CA030,4,404250,19250
CA031,1,7650,600
CA031,2,30600,2350
CA031,3,76500,5800
CA031,4,267750,20350
CA032,1,14850,1400
CA032,2,59400,5550
CA032,3,148500,13900
CA032,4,519750,48650
CA033,1,5000,250
CA033,2,20000,850
CA033,3,50000,2100
CA033,4,175000,7350
CA034,1,6500,400
CA034,2,26000,1600
CA034,3,65000,4050
CA034,4,227500,14150
CA035,1,15427,1200
CA035,2,61708,4800
CA035,3,154270,12050
CA035,4,539945,42200
CA036,1,7150,500
CA036,2,28600,2050
CA036,3,71500,5150
CA036,4,250250,18000
CA037,1,6500,500
CA037,2,26000,2050
CA037,3,65000,5050
CA037,4,227500,17750
CA038,1,10450,450
CA038,2,41800,1850
CA038,3,104500,4600
CA038,4,365750,16150
CA039,1,13500,850
CA039,2,54000,3350
CA039,3,135000,8400
CA039,4,472500,29350
CA040,1,8075,300
CA040,2,32300,1200
CA040,3,80750,2950
CA040,4,282625,10300
CA041,1,8500,450
CA041,2,34000,1850
CA041,3,85000,4600
CA041,4,297500,16050
CA042,1,15427,2250
CA042,2,61708,8950
CA042,3,154270,22400
CA042,4,539945,78350
CA043,1,9900,600
CA043,2,39600,2350
CA043,3,99000,5900
CA043,4,346500,20600
CA044,1,5006,250
CA044,2,20024,800
CA044,3,50060,1950
CA044,4,175210,6800
CA045,1,6175,250
CA045,2,24700,1000
CA045,3,61750,2500
CA045,4,216125,8750
CA046,1,6825,400
CA046,2,27300,1650
CA046,3,68250,4100
CA046,4,238875,14350
CA047,1,9350,800
CA047,2,37400,3100
CA047,3,93500,7800
CA047,4,327250,27250
CA048,1,5850,400
CA048,2,23400,1500
CA048,3,58500,3800
CA048,4,204750,13250
CA049,1,14726,1550
CA049,2,58904,6300
CA049,3,147260,15750
CA049,4,515410,55100
CA050,1,8925,350
CA050,2,35700,1500
CA050,3,89250,3750
CA050,4,312375,13100
CA051,1,6175,300
CA051,2,24700,1300
CA051,3,61750,3200
CA051,4,216125,11250
CA052,1,7650,700
CA052,2,30600,2800
CA052,3,76500,6950
CA052,4,267750,24350
CA053,1,11000,550
CA053,2,44000,2250
CA053,3,110000,5600
CA053,4,385000,19650
CA054,1,6825,450
CA054,2,27300,1900
CA054,3,68250,4700
CA054,4,238875,16500
CA055,1,5797,250
CA055,2,23188,700
CA055,3,57970,1700
CA055,4,202895,5900
CA056,1,14024,1150
CA056,2,56096,4700
CA056,3,140240,11750
CA056,4,490840,41100
CA057,1,8500,600
CA057,2,34000,2400
CA057,3,85000,5950
CA057,4,297500,20900
CA058,1,8075,350
CA058,2,32300,1450
CA058,3,80750,3550
CA058,4,282625,12500
CA059,1,6175,350
CA059,2,24700,1500
CA059,3,61750,3700
CA059,4,216125,12900
CA060,1,8075,300
CA060,2,32300,1200
CA060,3,80750,2950
