post_id,campaign_id,creator_id,post_date,platform,format,views_at_24h,views_at_7d,views_at_30d,views_final,total_payout_earned,flagged_suspicious
PO00001,CA001,CR1167,2025-01-01,youtube,short,8211,33688,54183,56460,950,False
PO00002,CA001,CR0598,2025-01-01,youtube,short,34502,143153,237802,240557,9500,False
PO00003,CA001,CR0308,2025-01-01,youtube,short,21425,197766,1048390,1153752,33250,True
PO00004,CA001,CR0268,2025-01-01,youtube,reel,22633,47082,82555,81328,3800,False
PO00005,CA001,CR0268,2025-01-01,youtube,reel,2006,7465,11990,13066,0,False
PO00006,CA001,CR0773,2025-01-01,youtube,carousel,8223,26356,47274,51297,950,False
PO00007,CA001,CR0833,2025-01-01,youtube,short,12814,32617,44524,46669,950,False
PO00008,CA001,CR0087,2025-01-01,youtube,short,18789,60504,383215,433186,9500,True
PO00009,CA001,CR1167,2025-01-01,youtube,short,9388,32798,70197,75130,3800,False
PO00010,CA001,CR0816,2025-01-01,youtube,short,19715,40938,92915,100831,3800,False
PO00011,CA001,CR0100,2025-01-01,youtube,short,23947,54418,119346,131657,3800,False
PO00012,CA001,CR0670,2025-01-01,youtube,short,37541,79437,135960,159162,9500,False
PO00013,CA001,CR0095,2025-01-01,youtube,short,13269,33375,48549,53902,950,False
PO00014,CA001,CR0450,2025-01-01,youtube,short,53011,215509,295308,331647,9500,False
PO00015,CA001,CR1067,2025-01-01,youtube,reel,20669,108436,168633,187209,9500,False
PO00016,CA001,CR0816,2025-01-01,youtube,short,192592,735471,1089404,1208728,33250,False
PO00017,CA001,CR1067,2025-01-01,youtube,reel,80996,300102,476575,472093,9500,False
PO00018,CA001,CR0887,2025-01-01,youtube,long_form,121197,261476,572403,580105,33250,False
PO00019,CA001,CR0664,2025-01-01,youtube,long_form,2631,5252,10630,10535,0,False
PO00020,CA001,CR1067,2025-01-01,youtube,reel,79473,194685,418457,411594,9500,False
PO00021,CA001,CR0598,2025-01-01,youtube,short,10979,82192,120549,135935,3800,False
PO00022,CA001,CR0103,2025-01-01,youtube,carousel,2928,19354,200961,213670,9500,True
PO00023,CA001,CR0366,2025-01-01,youtube,short,8857,43978,71825,73625,3800,False
PO00024,CA001,CR1139,2025-01-01,youtube,short,3676,16231,22641,23599,950,False
PO00025,CA001,CR0706,2025-01-01,youtube,long_form,156,368,589,701,0,False
PO00026,CA001,CR0450,2025-01-01,youtube,short,7013,35795,48372,54517,950,False
PO00027,CA001,CR1167,2025-01-01,youtube,short,41427,142600,233803,274659,9500,False
PO00028,CA001,CR0103,2025-01-01,youtube,short,16523,22155,51015,61422,3800,False
PO00029,CA001,CR0816,2025-01-01,youtube,short,18088,43741,87915,94794,3800,False
PO00030,CA001,CR0670,2025-01-01,youtube,short,66064,174048,275116,315126,9500,False
PO00031,CA001,CR1067,2025-01-01,youtube,short,345199,581926,1428332,1450083,33250,False
PO00032,CA001,CR0099,2025-01-01,youtube,short,7337,44357,70272,74851,3800,False
PO00033,CA001,CR1167,2025-01-01,youtube,short,15677,31901,68782,68677,3800,False
PO00034,CA001,CR0103,2025-01-01,youtube,short,15829,69743,143075,156085,9500,False
PO00035,CA001,CR0833,2025-01-01,youtube,short,15631,53143,77058,82532,3800,False
PO00036,CA001,CR0087,2025-01-01,youtube,short,35697,130017,297116,299041,9500,False
PO00037,CA001,CR0366,2025-01-01,youtube,long_form,16518,153242,984366,1094631,33250,True
PO00038,CA001,CR0478,2025-01-01,youtube,reel,2473,4088,9155,11303,0,False
PO00039,CA001,CR0670,2025-01-01,youtube,short,1583,8721,14796,15118,950,False
PO00040,CA001,CR1098,2025-01-01,youtube,carousel,3669,19882,41148,42732,950,False
PO00041,CA001,CR0232,2025-01-01,youtube,reel,40012,192890,307384,323021,9500,False
PO00042,CA001,CR0308,2025-01-01,youtube,short,30254,133251,261669,275195,9500,False
PO00043,CA001,CR1098,2025-01-01,youtube,short,8128,27417,54383,57644,950,False
PO00044,CA001,CR1167,2025-01-01,youtube,long_form,3665,17671,30897,31189,950,False
PO00045,CA001,CR0232,2025-01-01,youtube,short,2849,13006,26361,26338,950,False
PO00046,CA001,CR0887,2025-01-01,youtube,long_form,57379,429696,571605,636193,33250,False
PO00047,CA001,CR1167,2025-01-01,youtube,short,13566,44897,58703,69507,3800,False
PO00048,CA001,CR0268,2025-01-01,youtube,short,4937,15124,112778,130916,3800,True
PO00049,CA001,CR1067,2025-01-01,youtube,short,2024,7083,13988,16469,950,False
PO00050,CA001,CR0598,2025-01-01,youtube,short,17569,42781,75694,80752,3800,False
PO00051,CA001,CR0308,2025-01-01,youtube,short,66337,321813,459034,482830,9500,False
PO00052,CA001,CR1087,2025-01-01,youtube,short,2524,5988,9002,10198,0,False
PO00053,CA002,CR0802,2025-01-04,instagram,short,901,2859,4225,4294,0,False
PO00054,CA002,CR0177,2025-01-04,instagram,long_form,237,454,1214,1243,0,False
PO00055,CA002,CR0731,2025-01-04,instagram,reel,474,1625,3259,3471,0,False
PO00056,CA002,CR0449,2025-01-04,instagram,short,348,543,1305,1422,0,False
PO00057,CA002,CR0651,2025-01-04,instagram,reel,412,1392,2016,2016,0,False
PO00058,CA002,CR0291,2025-01-04,instagram,reel,179074,614871,965468,1131217,21100,False
PO00059,CA002,CR0989,2025-01-04,instagram,reel,586,1863,2281,2695,0,False
PO00060,CA002,CR0924,2025-01-04,instagram,reel,2533,6878,10433,12765,600,False
PO00061,CA002,CR0662,2025-01-04,instagram,long_form,147,381,672,783,0,False
PO00062,CA002,CR0695,2025-01-04,instagram,short,100,588,2536,3075,0,True
PO00063,CA002,CR0821,2025-01-04,instagram,short,6280,9794,25438,25121,600,False
PO00064,CA002,CR1003,2025-01-04,instagram,long_form,374,1547,2585,3054,0,False
PO00065,CA002,CR0470,2025-01-04,instagram,reel,100,133,259,293,0,False
PO00066,CA002,CR1101,2025-01-04,instagram,reel,100,179,366,358,0,False
PO00067,CA002,CR1089,2025-01-04,instagram,short,1218,8528,12262,13157,600,False
PO00068,CA002,CR0086,2025-01-04,instagram,reel,7542,14808,32237,31861,2400,False
PO00069,CA002,CR0745,2025-01-04,instagram,reel,146,889,1239,1304,0,False
PO00070,CA002,CR1131,2025-01-04,instagram,reel,102,336,418,507,0,False
PO00071,CA002,CR0338,2025-01-04,instagram,carousel,3966,9512,26182,25661,600,False
PO00072,CA002,CR0367,2025-01-04,instagram,carousel,100,184,373,457,0,False
PO00073,CA002,CR0372,2025-01-04,instagram,reel,419,2362,3867,3900,0,False
PO00074,CA002,CR0622,2025-01-04,instagram,short,1600,7585,11461,12318,600,False
PO00075,CA002,CR0266,2025-01-04,instagram,reel,94269,205149,359528,351843,21100,False
PO00076,CA002,CR0107,2025-01-04,instagram,carousel,490,1702,2734,3271,0,False
PO00077,CA002,CR0279,2025-01-04,instagram,carousel,100,137,268,276,0,False
PO00078,CA002,CR0628,2025-01-04,instagram,carousel,100,100,150,164,0,False
PO00079,CA002,CR0057,2025-01-04,instagram,reel,25338,45502,82612,96347,6050,False
PO00080,CA002,CR0659,2025-01-04,instagram,short,62235,449972,681954,761566,21100,False
PO00081,CA002,CR0537,2025-01-04,instagram,short,2248,15560,78346,94550,6050,True
PO00082,CA002,CR0564,2025-01-04,instagram,reel,382,1021,1550,1751,0,False
PO00083,CA002,CR0021,2025-01-04,instagram,carousel,100,378,699,826,0,False
PO00084,CA002,CR0379,2025-01-04,instagram,reel,602,2133,3449,4267,0,False
PO00085,CA002,CR0903,2025-01-04,instagram,reel,137,230,520,542,0,False
PO00086,CA002,CR0143,2025-01-04,instagram,short,716,3472,4952,6051,0,False
PO00087,CA002,CR0547,2025-01-04,instagram,short,1365,2158,4958,5558,0,False
PO00088,CA002,CR0309,2025-01-04,instagram,short,553,1223,2557,2580,0,False
PO00089,CA002,CR0310,2025-01-04,instagram,reel,34184,148544,407105,403914,21100,False
PO00090,CA002,CR0357,2025-01-04,instagram,long_form,114,390,593,621,0,False
PO00091,CA002,CR0160,2025-01-04,instagram,reel,45267,90398,154098,173972,6050,False
PO00092,CA002,CR0739,2025-01-04,instagram,short,2940,5933,10506,12706,600,False
PO00093,CA002,CR1068,2025-01-04,instagram,reel,100,339,553,593,0,False
PO00094,CA002,CR0414,2025-01-04,instagram,short,262,833,1480,1592,0,False
PO00095,CA002,CR0441,2025-01-04,instagram,reel,329,1449,1960,2099,0,False
PO00096,CA002,CR1096,2025-01-04,instagram,reel,343,1042,1978,2058,0,False
PO00097,CA002,CR0406,2025-01-04,instagram,reel,10635,31899,45189,45970,2400,False
PO00098,CA002,CR0069,2025-01-04,instagram,reel,1525,4179,6116,6179,0,False
PO00099,CA002,CR0601,2025-01-04,instagram,reel,180,492,764,835,0,False
PO00100,CA002,CR0477,2025-01-04,instagram,short,1240,3436,5038,5053,0,False
PO00101,CA002,CR1159,2025-01-04,instagram,reel,1181,2755,4860,4754,0,False
PO00102,CA002,CR0225,2025-01-04,instagram,reel,812,4404,5998,6407,0,False
PO00103,CA002,CR1171,2025-01-04,instagram,reel,441,1304,2072,2114,0,False
PO00104,CA002,CR0290,2025-01-04,instagram,reel,196,1057,1491,1713,0,False
PO00105,CA002,CR1111,2025-01-04,instagram,reel,9024,53653,102247,106907,6050,False
PO00106,CA002,CR0239,2025-01-04,instagram,reel,100,360,915,894,0,False
PO00107,CA002,CR0321,2025-01-04,instagram,reel,113,254,407,440,0,False
PO00108,CA002,CR0502,2025-01-04,instagram,long_form,700,1628,2578,2815,0,False
PO00109,CA002,CR1165,2025-01-04,instagram,reel,1585,5280,10256,10419,600,False
PO00110,CA002,CR1002,2025-01-04,instagram,reel,303,1507,2168,2401,0,False
PO00111,CA002,CR1061,2025-01-04,instagram,reel,139,1478,7094,8248,600,True
PO00112,CA002,CR1192,2025-01-04,instagram,long_form,724,1805,2558,3019,0,False
PO00113,CA002,CR1028,2025-01-04,instagram,carousel,219,582,911,1090,0,False
PO00114,CA002,CR0543,2025-01-04,instagram,long_form,100,138,623,797,0,True
PO00115,CA002,CR0618,2025-01-04,instagram,short,334,1779,2606,2612,0,False
PO00116,CA002,CR0427,2025-01-04,instagram,reel,517,928,1768,1903,0,False
PO00117,CA002,CR0708,2025-01-04,instagram,carousel,144,806,1258,1424,0,False
PO00118,CA002,CR0722,2025-01-04,instagram,carousel,765,1976,2976,3101,0,False
PO00119,CA002,CR0526,2025-01-04,instagram,short,100,452,1096,1081,0,False
PO00120,CA002,CR0126,2025-01-04,instagram,short,3738,5394,11906,13859,600,False
PO00121,CA002,CR1036,2025-01-04,instagram,reel,153,263,512,560,0,False
PO00122,CA002,CR0265,2025-01-04,instagram,short,2121,5624,9484,9990,600,False
PO00123,CA002,CR0285,2025-01-04,instagram,short,100,116,192,199,0,False
PO00124,CA002,CR1006,2025-01-04,instagram,reel,100,100,100,100,0,False
PO00125,CA002,CR0637,2025-01-04,instagram,reel,680,1952,2936,3109,0,False
PO00126,CA002,CR0676,2025-01-04,instagram,carousel,143,283,427,531,0,False
PO00127,CA002,CR1134,2025-01-04,instagram,reel,1394,3375,6537,7084,600,False
PO00128,CA002,CR0112,2025-01-04,instagram,reel,892,4159,7536,8265,600,False
