campaign_id,category,platform,tier,budget,creators,clean_creators,manual_paid_as_paid,manual_paid_clean,proposed_paid_clean,proposed_paid_raw,manual_completion,proposed_completion,manual_first_threshold,proposed_first_threshold,manual_payout_share_of_cpm,proposed_payout_share_of_cpm,sim_p90_proposed,sim_p10_manual,sim_p90_manual,payout_rate_of_media_value,cold_start,n_warnings,manual_over_budget,proposed_over_budget,proposed_over_budget_ungated,proposed_within_sim_p90,manual_in_sim_p10_p90
CA001,gaming,youtube,macro,715000,52,47,406600,317300,365150,504100,0.8936170212765957,0.5319148936170213,14850,75000,0.2097189900367022,0.24134538043461018,443160,150955.0,377340.00000000006,0.4,False,0,False,False,False,True,True
CA002,entertainment,instagram,nano,585000,166,156,227300,220650,135200,138900,0.32051282051282054,0.46153846153846156,6825,3000,0.1912191059925728,0.11716665819259389,107580,57720.00000000001,168810.0,0.4,False,1,False,False,False,False,False
CA003,finance,youtube,micro,95000,62,61,34450,32650,28050,30100,0.2786885245901639,0.5409836065573771,7650,3000,0.14029889034964932,0.12053243106608465,38360,7650.0,41755.0,0.4,False,1,False,False,False,True,True
CA004,FMCG,instagram,nano,120000,171,161,94300,78150,58500,68050,0.14906832298136646,0.2857142857142857,6500,3000,0.10481621452519362,0.07846127382883976,95455,37755.0,126650.00000000001,0.4,False,0,False,False,False,True,True
CA005,D2C,youtube,mid,195000,198,187,159400,151800,114000,122100,0.5721925133689839,0.42780748663101603,10450,20000,0.15297668596003658,0.11488367720318952,194165,109900.0,253840.00000000003,0.225,False,0,False,False,False,True,True
CA006,gaming,youtube,micro,100000,185,176,60600,52800,46550,51800,0.22727272727272727,0.4090909090909091,9350,5000,0.16704378065633022,0.1472706058627305,95780,59340.0,167785.00000000012,0.3,False,0,False,False,False,True,False
CA007,finance,youtube,mid,480000,142,133,359100,324550,187400,208800,0.40601503759398494,0.45112781954887216,16335,15000,0.42682533092278835,0.24645529815107234,254975,156500.0,513680.00000000006,0.4,False,0,False,False,False,True,True
CA008,finance,instagram,micro,285000,120,118,64100,63600,72900,73200,0.3135593220338983,0.4745762711864407,7650,4000,0.18629226919596112,0.21353311988027618,92635,25850.000000000004,89855.0,0.4,False,0,False,False,False,True,True
CA009,gaming,youtube,nano,270000,164,155,68150,64950,61900,65500,0.16774193548387098,0.3032258064516129,7150,3000,0.20622472913596318,0.19654058096252686,86125,36450.0,123645.00000000004,0.4,False,1,False,False,False,True,True
CA010,FMCG,instagram,micro,25000,96,91,24150,22750,11900,12900,0.27472527472527475,0.46153846153846156,8500,5000,0.15178505901269657,0.07939526163741051,24455,18495.0,65150.0,0.15,False,0,False,False,False,True,True
CA011,finance,youtube,micro,50000,135,125,42450,37350,27300,32350,0.384,0.528,5000,3000,0.14878441934340858,0.10875005751204965,49170,19180.0,60640.00000000001,0.275,False,0,False,False,False,True,True
CA012,gaming,youtube,macro,2335000,178,168,1531600,1414200,1295450,1391200,0.8809523809523809,0.6369047619047619,14850,75000,0.28456190457302855,0.260667316701407,1449695,749890.0000000001,1662780.0,0.4,False,0,False,False,False,True,True
CA013,finance,youtube,nano,290000,85,79,74700,74350,74600,75250,0.25316455696202533,0.3670886075949367,5850,3000,0.1422708853922866,0.1427492676565512,50405,8715.000000000002,51340.00000000001,0.4,True,2,False,False,False,False,False
CA014,gaming,instagram,macro,960000,97,87,755450,686200,244300,273400,0.7816091954022989,0.3218390804597701,24502,100000,0.4041886240281242,0.14389868966783845,927320,733080.0,1873050.0000000002,0.325,False,0,False,False,False,True,False
CA015,D2C,youtube,macro,355000,89,86,251300,232650,115850,126750,0.8953488372093024,0.5930232558139535,12825,60000,0.1538057868513327,0.07658886914561311,300870,150545.0,423475.00000000006,0.15,True,1,False,False,False,True,True
CA016,finance,instagram,micro,40000,77,75,60300,59700,34050,34700,0.3466666666666667,0.5733333333333334,7650,3000,0.1787985313722239,0.10197805683792671,39270,17565.000000000004,75555.0,0.275,False,1,True,False,False,True,True
CA017,FMCG,instagram,micro,70000,181,171,70600,62000,24950,29450,0.23391812865497075,0.36257309941520466,8500,5000,0.23210789722786426,0.09340471025540667,65030,77835.0,234705.0,0.175,False,0,True,False,False,True,False
CA018,D2C,youtube,mid,195000,96,91,149900,141600,172900,184750,0.7692307692307693,0.5714285714285714,10450,20000,0.18849287473638118,0.23015831950508692,178640,55980.0,149635.00000000003,0.4,False,0,False,False,False,True,True
CA019,D2C,youtube,nano,30000,113,108,32350,30500,14300,14900,0.14814814814814814,0.21296296296296297,6175,3000,0.16120680364593765,0.07558220629957076,28060,16900.0,68315.0,0.25,False,1,True,False,False,True,True
CA020,entertainment,instagram,micro,85000,123,112,70900,65100,73200,81150,0.44642857142857145,0.5535714285714286,8925,6000,0.14403123606080187,0.16195217326652378,84785,32940.0,107570.0,0.275,False,0,False,False,False,True,True
CA021,entertainment,instagram,micro,10000,39,36,6200,6200,3150,3350,0.1111111111111111,0.5277777777777778,14726,3000,0.14833281097854198,0.07536263783587213,9565,13950.0,107000.0,0.125,False,2,False,False,False,True,False
CA022,finance,instagram,micro,60000,88,83,62900,62300,57200,58150,0.6385542168674698,0.7108433734939759,5000,3000,0.2187401305804847,0.20083363513970665,59005,20300.0,63395.00000000001,0.4,False,1,True,False,False,True,True
CA023,FMCG,instagram,nano,35000,52,47,24350,22650,26250,27350,0.2127659574468085,0.3191489361702128,6500,3000,0.20523861367432844,0.23785932048349323,33010,4395.0,34605.0,0.4,False,0,False,False,False,True,True
CA024,gaming,youtube,micro,140000,192,186,111350,111350,85700,86600,0.26344086021505375,0.41935483870967744,9350,5000,0.22562342985544862,0.1736500039390386,139305,68350.0,210855.00000000006,0.4,False,0,False,False,False,True,True
CA025,finance,youtube,mid,65000,95,92,67550,66550,34000,34000,0.4891304347826087,0.391304347826087,9900,15000,0.16158099292794834,0.08255077024117571,62460,43120.0,132795.00000000003,0.15,False,0,True,False,False,True,True
CA026,gaming,instagram,mid,430000,77,73,171250,164250,143600,146400,0.6301369863013698,0.4657534246575342,12100,20000,0.21727747631437397,0.18996070379752877,255745,85695.0,257515.0,0.4,False,0,False,False,False,True,True
CA027,finance,youtube,mid,395000,161,154,342100,315100,226200,252550,0.6623376623376623,0.5324675324675324,9900,15000,0.3073276304437424,0.2206204697123914,281915,126720.00000000001,363830.0,0.4,False,0,False,False,False,True,True
CA028,entertainment,instagram,nano,150000,61,55,91800,89800,34900,36600,0.16363636363636364,0.2909090909090909,11261,3000,0.2982183149350123,0.11589999099367404,51490,12000.000000000005,97145.00000000007,0.4,False,1,False,False,False,True,True
CA029,gaming,youtube,mid,610000,163,156,431950,413250,329100,341100,0.6923076923076923,0.5769230769230769,12100,20000,0.2776594053228259,0.2211196861264174,530490,206665.0,589520.0,0.4,True,1,False,False,False,True,True
CA030,entertainment,instagram,mid,495000,80,76,108350,100100,149650,156350,0.631578947368421,0.4342105263157895,11550,25000,0.1433610466038119,0.21432548076184266,285125,71335.00000000001,200805.0,0.4,False,0,False,False,False,True,True
CA031,finance,instagram,micro,110000,170,155,71350,58450,58200,70300,0.32903225806451614,0.4774193548387097,7650,4000,0.1709046287552345,0.17017364231915566,106510,51895.0,157550.0,0.375,False,0,False,False,False,True,True
CA032,gaming,instagram,macro,410000,43,42,350250,301600,204350,220500,0.8333333333333334,0.40476190476190477,14850,100000,0.212579702763109,0.14403402605981871,403575,222170.00000000003,583800.0,0.3,False,0,False,False,False,True,True
CA033,finance,instagram,micro,15000,89,85,26050,18450,9350,10600,0.4117647058823529,0.5764705882352941,5000,4000,0.11494617372846325,0.05825185497892311,14505,12850.0,43800.000000000015,0.1,False,1,True,False,False,True,True
CA034,FMCG,youtube,nano,390000,191,184,80000,75950,58800,61100,0.125,0.20108695652173914,6500,3000,0.2581982666584329,0.19989543225168996,84250,35050.0,111175.0,0.4,False,1,False,False,False,True,True
CA035,gaming,instagram,micro,120000,165,156,73300,66100,60000,68600,0.16025641025641027,0.3974358974358974,15427,5000,0.1538548841663586,0.1396564757939715,119150,68450.0,234985.00000000006,0.325,False,0,False,False,False,True,False
CA036,gaming,instagram,nano,10000,35,31,8200,7700,3600,3900,0.0967741935483871,0.1935483870967742,7150,3000,0.23439107633599868,0.10958543828696042,9805,3000.0,38050.000000000015,0.175,False,0,False,False,False,True,True
CA037,FMCG,instagram,nano,10000,32,31,0,0,400,500,0.0,0.12903225806451613,6500,3000,0.0,0.06448232781203402,8900,2500.0,36955.0,0.15,False,0,False,False,False,True,False
CA038,D2C,youtube,mid,705000,176,169,219100,205750,284700,311250,0.6449704142011834,0.5798816568047337,10450,15000,0.15723148723036165,0.21756405547744334,315725,107125.0,265000.0,0.4,False,0,False,False,False,True,True
CA039,FMCG,youtube,macro,870000,84,80,504550,478500,502000,519150,0.9375,0.6625,13500,60000,0.22026330123123455,0.2310808301318281,763880,265865.0,669550.0,0.4,True,1,False,False,False,True,True
CA040,D2C,youtube,micro,75000,121,112,51600,45350,46600,56850,0.33035714285714285,0.5446428571428571,8075,4000,0.15258429685185793,0.15679003822043172,69410,17950.0,57440.00000000001,0.4,False,0,False,False,False,True,True
CA041,FMCG,youtube,micro,60000,118,110,47650,39850,37250,44250,0.2727272727272727,0.45454545454545453,8500,4000,0.19731986151166178,0.1844457927555684,56420,24250.0,88050.0,0.35,False,0,False,False,False,True,True
CA042,gaming,instagram,micro,1310000,194,179,752900,732700,220450,234600,0.4134078212290503,0.7206703910614525,15427,5000,0.460816323255047,0.1386474115757815,168520,130145.0,452605.0,0.4,False,0,False,False,False,False,False
CA043,finance,youtube,mid,65000,66,66,40350,40350,30000,30000,0.4393939393939394,0.30303030303030304,9900,15000,0.14198080285833573,0.10556193521065853,62715,34945.0,107955.0,0.2,False,0,False,False,False,True,True
CA044,D2C,youtube,micro,55000,46,43,16150,15100,17100,18050,0.627906976744186,0.7674418604651163,5006,4000,0.19989957363141933,0.2263763383508126,28625,7090.000000000001,26405.0,0.4,False,0,False,False,False,True,True
CA045,D2C,instagram,nano,155000,172,162,113000,92750,106600,126750,0.3271604938271605,0.5246913580246914,6175,3000,0.11614865898796924,0.13349269054574145,86595,22500.0,69275.0,0.4,False,1,False,False,False,False,False
CA046,entertainment,youtube,nano,205000,108,103,57750,57350,45100,45650,0.20388349514563106,0.2912621359223301,6825,3000,0.19305444960210083,0.15181788451708364,65860,17150.0,76245.00000000001,0.4,False,0,False,False,False,True,True
CA047,gaming,youtube,micro,235000,63,61,136750,133650,64000,66800,0.5409836065573771,0.6557377049180327,9350,4000,0.23255721690556808,0.1113629770441927,48695,17940.000000000004,80460.0,0.4,False,0,False,False,False,False,False
CA048,finance,instagram,nano,25000,158,151,14600,14200,5750,5850,0.10596026490066225,0.17218543046357615,5850,3000,0.15338720536829292,0.06211101625828764,21320,27890.0,103260.0,0.125,True,3,False,False,False,True,False
CA049,entertainment,youtube,micro,145000,57,52,113200,89600,43650,54550,0.28846153846153844,0.5192307692307693,14726,5000,0.4411274548176682,0.21490193529900906,46825,20250.0,111425.0,0.4,False,0,False,False,False,True,True
CA050,entertainment,youtube,micro,25000,172,164,40250,31350,17900,19400,0.3475609756097561,0.5914634146341463,8925,3000,0.13186827053816766,0.07529320710153753,25605,36745.0,115120.0,0.1,False,2,True,False,False,True,False
CA051,D2C,youtube,nano,20000,52,46,13700,10500,11850,16150,0.1956521739130435,0.2608695652173913,6175,3000,0.17688500453162537,0.19962736225712005,19380,4680.000000000001,32610.000000000004,0.325,False,1,False,False,False,True,True
CA052,finance,youtube,micro,50000,45,44,18150,18150,18400,18600,0.18181818181818182,0.4318181818181818,7650,3000,0.29019999416402215,0.29419723926270014,28815,7000.0,47535.00000000003,0.4,False,0,False,False,False,True,True
CA053,FMCG,instagram,mid,815000,186,173,298250,238850,338250,418800,0.7225433526011561,0.5722543352601156,11000,20000,0.17431942441674697,0.2468643303703775,427800,145800.0,358155.00000000006,0.4,False,0,False,False,False,True,True
CA054,entertainment,youtube,nano,105000,152,145,73800,73350,51450,51750,0.12413793103448276,0.21379310344827587,6825,3000,0.20594858697790033,0.14445882481271946,89830,34565.0,123105.00000000003,0.4,False,0,False,False,False,True,True
CA055,gaming,youtube,micro,60000,141,135,40350,38900,42950,44450,0.45185185185185184,0.48148148148148145,5797,5000,0.10486513857941542,0.11578297434411033,57155,22240.0,62115.0,0.225,False,0,False,False,False,True,True
CA056,FMCG,youtube,micro,35000,110,106,38500,33800,12200,13450,0.1320754716981132,0.29245283018867924,14024,4000,0.2939630299743578,0.10610499898482738,34670,30345.0,137995.00000000003,0.2,False,0,True,False,False,True,True
CA057,FMCG,youtube,micro,105000,83,77,71750,46650,40850,49550,0.4675324675324675,0.6363636363636364,8500,4000,0.24069456246991316,0.21076897914032053,54270,20350.0,86665.00000000001,0.4,False,0,False,False,False,True,True
CA058,D2C,youtube,micro,445000,193,181,91200,73400,77200,89800,0.2983425414364641,0.5082872928176796,8075,4000,0.16511814416924075,0.1736664949572941,113970,39535.0,115250.0,0.4,False,0,False,False,False,True,True
CA059,D2C,youtube,nano,55000,167,154,59350,44600,27050,33550,0.15584415584415584,0.2922077922077922,6175,3000,0.2717326900945331,0.1648064858084556,53890,30430.0,94275.00000000001,0.35,False,1,True,False,False,True,True
CA060,D2C,youtube,micro,15000,112,106,16950,16650,6250,6500,0.16037735849056603,0.2830188679245283,8075,5000,0.1230976241788871,0.04620781688396663,14650,17895.0,61115.000000000015,0.1,False,1,True,False,False,True,False
CA061,gaming,youtube,macro,1150000,184,176,760950,690650,535250,595450,0.8125,0.42613636363636365,14850,75000,0.21654829968024658,0.1678237564668819,1105075,666045.0,1378830.0,0.275,False,0,False,False,False,True,True
CA062,gaming,youtube,nano,180000,66,62,100500,79700,37950,47650,0.12903225806451613,0.1774193548387097,7150,3000,0.2771745087925179,0.13197958103734073,37355,10200.0,60260.00000000002,0.4,False,1,False,False,False,False,False
CA063,D2C,instagram,nano,55000,132,122,71900,71100,47600,49050,0.18032786885245902,0.3360655737704918,10188,3000,0.2582824431855365,0.17291482834924807,54675,29630.000000000004,121800.0,0.35,False,0,True,False,False,True,True
CA064,entertainment,instagram,micro,90000,90,83,136350,128650,65750,73700,0.4457831325301205,0.5421686746987951,8925,6000,0.3267461661804333,0.1669923080168169,85770,37800.0,132270.00000000003,0.4,False,0,True,False,False,True,True
CA065,FMCG,instagram,micro,90000,119,111,50300,41700,68400,81600,0.3783783783783784,0.5405405405405406,8500,5000,0.1523544795505214,0.24990518947855306,86570,25535.0,78825.0,0.4,False,0,False,False,False,True,True
CA066,FMCG,instagram,mid,225000,102,95,73850,63800,79500,95150,0.6105263157894737,0.3368421052631579,6820,20000,0.15877708791870612,0.19784919262597395,216955,64595.0,156985.00000000003,0.35,False,0,False,False,False,True,False
CA067,finance,instagram,micro,305000,186,180,205600,199600,123600,127200,0.37222222222222223,0.6222222222222222,7650,3000,0.28428715281289035,0.17604154352541707,119605,63830.00000000001,192360.0,0.4,False,0,False,False,False,False,False
CA068,D2C,instagram,mid,135000,80,78,93700,88050,41650,43550,0.6025641025641025,0.38461538461538464,10450,20000,0.18274561368498776,0.08644355264031504,115630,73745.0,217590.00000000003,0.175,True,1,False,False,False,True,True
CA069,FMCG,youtube,nano,10000,33,31,2400,800,500,800,0.06451612903225806,0.0967741935483871,6500,3000,0.09740821102514836,0.060880131890717726,9700,1600.0,27855.0,0.225,False,1,False,False,False,True,False
CA070,gaming,instagram,macro,2070000,191,180,1241250,1153250,862250,949700,0.7666666666666667,0.39444444444444443,24502,100000,0.24630207100221188,0.18415257812413371,1972710,1065285.0,2358900.0000000005,0.325,False,0,False,False,False,True,True
CA071,D2C,instagram,mid,95000,48,46,59600,58400,51100,52000,0.6086956521739131,0.4782608695652174,10450,20000,0.21622522626775878,0.18919707298428892,94455,39050.0,119010.00000000001,0.325,False,0,False,False,False,True,True
CA072,D2C,youtube,micro,40000,86,81,38850,38850,24400,24550,0.35802469135802467,0.5432098765432098,8075,4000,0.23998329197405066,0.1507230971471515,39950,20850.0,83110.0,0.325,False,0,False,False,False,True,True
CA073,D2C,instagram,micro,10000,34,33,4400,4000,2350,2650,0.30303030303030304,0.36363636363636365,8075,5000,0.13359973119734084,0.07848984207843773,9900,4800.0,31910.000000000004,0.15,False,0,False,False,False,True,False
CA074,D2C,youtube,micro,30000,62,56,40950,38450,17700,19950,0.32142857142857145,0.48214285714285715,8075,4000,0.24844264583599465,0.11436761589849428,29420,13210.000000000002,55550.00000000004,0.325,False,0,True,False,False,True,True
CA075,finance,youtube,macro,495000,155,144,353900,325850,185000,199200,0.7291666666666666,0.5902777777777778,12150,30000,0.16446412518069412,0.09337383200376989,431805,313295.0,762405.0,0.15,True,1,False,False,False,True,True
CA076,entertainment,youtube,micro,135000,136,131,83000,74950,81550,88900,0.3435114503816794,0.5114503816793893,8925,5000,0.18432871454024002,0.20056046258514443,109345,42875.0,122925.0,0.4,False,0,False,False,False,True,True
CA077,D2C,youtube,nano,405000,123,120,149200,149200,49050,49200,0.11666666666666667,0.26666666666666666,10188,3000,0.426149383010241,0.14009803777917104,58365,33845.00000000001,144205.00000000006,0.4,False,1,False,False,False,True,False
CA078,D2C,instagram,micro,70000,152,147,85100,82700,37000,37600,0.35374149659863946,0.5170068027210885,8075,5000,0.17934074818054258,0.08023709410737696,54105,47835.00000000001,141700.0,0.15,True,1,True,False,False,True,True
CA079,entertainment,instagram,micro,195000,144,138,111200,107000,76450,80900,0.26811594202898553,0.3695652173913043,8925,6000,0.24896080965964218,0.17787900839700604,161735,72730.0,212820.00000000006,0.4,False,0,False,False,False,True,True
CA080,gaming,youtube,micro,70000,40,40,14500,14500,25300,25300,0.425,0.6,9350,4000,0.13736742622327114,0.23968247472060417,33755,4500.0,31560.000000000004,0.4,False,0,False,False,False,True,True
CA081,finance,youtube,nano,20000,58,56,13150,13150,11350,11350,0.14285714285714285,0.17857142857142858,5850,3000,0.19274614892461572,0.16636264564976339,19950,4900.0,35200.0,0.325,False,1,False,False,False,True,True
CA082,FMCG,youtube,mid,370000,163,154,247750,223150,188950,208150,0.6623376623376623,0.577922077922078,11000,15000,0.2941415169079042,0.24906134716445666,298010,152245.0,387060.0,0.4,False,0,False,False,False,True,True
CA083,FMCG,youtube,nano,30000,59,58,31400,31400,27700,27700,0.22413793103448276,0.3275862068965517,6500,3000,0.19454389261821475,0.17161993074918946,29105,4500.0,30205.0,0.4,False,1,True,False,False,True,False
CA084,gaming,instagram,nano,615000,96,88,143750,142250,65550,66250,0.17045454545454544,0.375,11797,3000,0.3253213488836252,0.14991082192844732,80225,39055.00000000001,210305.0,0.4,True,2,False,False,False,True,True
CA085,FMCG,youtube,micro,170000,194,175,103400,99600,102650,110750,0.38857142857142857,0.56,8500,4000,0.14805628190094455,0.15259013390694737,110255,30175.0,91555.00000000001,0.4,False,0,False,False,False,True,False
CA086,entertainment,instagram,micro,40000,52,51,67350,66750,30150,30400,0.4117647058823529,0.49019607843137253,8925,6000,0.24874757922955104,0.11235564814638148,37605,15145.0,71705.00000000001,0.275,False,0,True,False,False,True,True
CA087,entertainment,youtube,micro,60000,95,85,48850,35550,27500,34650,0.24705882352941178,0.4588235294117647,8925,5000,0.21179908577862977,0.16383895524366576,56525,32890.0,131725.00000000003,0.3,False,0,False,False,False,True,True
CA088,entertainment,instagram,micro,145000,124,119,98400,91250,159600,173100,0.6386554621848739,0.6302521008403361,5533,6000,0.09236241103121169,0.16154565260911108,130410,29500.0,78320.0,0.4,False,0,False,True,True,False,False
CA089,finance,instagram,nano,15000,39,37,9150,9150,7650,7750,0.16216216216216217,0.2702702702702703,5850,3000,0.14967163025774763,0.12513529742860868,14760,4050.0,38350.0,0.25,False,1,False,False,False,True,True
CA090,gaming,instagram,mid,160000,181,175,202800,197300,86700,89250,0.56,0.4228571428571429,12100,20000,0.15822088704002207,0.06952737408195599,159410,169700.0,389105.0,0.125,False,1,True,False,False,True,True
CA091,FMCG,youtube,mid,85000,67,61,52900,43800,25150,29150,0.2786885245901639,0.26229508196721313,18150,20000,0.23448854274525374,0.13464353538911258,84785,60190.00000000001,215840.00000000003,0.25,False,0,False,False,False,True,False
CA092,entertainment,instagram,micro,165000,81,77,139850,136700,92200,93950,0.4675324675324675,0.5584415584415584,8925,6000,0.22451127000589216,0.15142603580499822,97250,38850.0,146180.00000000003,0.4,False,0,False,False,False,True,True
CA093,entertainment,instagram,mid,755000,182,170,420300,377700,461900,504000,0.7294117647058823,0.4588235294117647,11550,25000,0.18281170028956367,0.22356559270254028,590070,206885.0,497765.0000000001,0.4,False,0,False,False,False,True,True
CA094,FMCG,instagram,micro,60000,50,45,38300,16550,15300,22000,0.28888888888888886,0.4,8500,5000,0.1789199827674651,0.16540638890285295,42070,12450.0,61755.0,0.4,False,0,False,False,False,True,True
CA095,FMCG,youtube,nano,135000,181,173,83900,70400,90750,109300,0.23699421965317918,0.3468208092485549,6500,3000,0.10068564852866911,0.1297900938064875,78815,19730.0,64885.00000000001,0.4,False,1,False,False,False,False,False
CA096,D2C,instagram,macro,1505000,184,173,1049650,959450,740100,771600,0.8554913294797688,0.5086705202312138,12825,75000,0.17657855413992282,0.1362090655260377,1255770,663770.0,1516265.0000000002,0.225,True,1,False,False,False,True,True
CA097,D2C,instagram,nano,215000,192,183,71400,70950,41050,41750,0.1366120218579235,0.2459016393442623,6175,3000,0.27234867509183086,0.15757453294601345,103145,52885.0,151715.0,0.4,False,0,False,False,False,True,True
CA098,FMCG,instagram,macro,200000,31,31,158400,158400,62050,62050,0.6774193548387096,0.41935483870967744,22275,75000,0.2673103716424197,0.1047134378813898,168910,130025.00000000001,431530.00000000006,0.175,True,1,False,False,False,True,True
CA099,entertainment,youtube,nano,50000,34,31,12750,12500,21350,21900,0.3225806451612903,0.5483870967741935,5000,3000,0.1287096701119671,0.21983611655123986,25210,1650.0,20505.0,0.4,False,0,False,False,False,True,True
