campaign_id,milestone_rank,manual_threshold,manual_payout,proposed_threshold,proposed_payout
CA033,1,5000,250,4000,100
CA033,2,20000,850,10000,150
CA033,3,50000,2100,25000,450
CA033,4,175000,7350,60000,1100
CA086,1,8925,600,6000,250
CA086,2,35700,2450,20000,900
CA086,3,89250,6050,50000,2300
CA086,4,312375,21250,100000,4650
CA037,1,6500,500,3000,100
CA037,2,26000,2050,10000,200
CA037,3,65000,5050,40000,900
CA037,4,227500,17750,150000,3350
CA061,1,14850,950,75000,3250
CA061,2,59400,3800,200000,8750
CA061,3,148500,9500,400000,17550
CA061,4,519750,33250,750000,32950
CA081,1,5850,400,3000,150
CA081,2,23400,1650,7500,400
CA081,3,58500,4100,25000,1400
CA081,4,204750,14350,75000,4250
